mt002,,
2014/12/30,,
,,
時刻,活動強度,運動種別
1:28:00,0,計測なし
1:28:10,0,計測なし
1:28:20,0,計測なし
1:28:30,0,計測なし
1:28:40,0,計測なし
1:28:50,0,計測なし
1:29:00,0,計測なし
1:29:10,0,計測なし
1:29:20,0,計測なし
1:29:30,0,計測なし
1:29:40,0,計測なし
1:29:50,0,計測なし
1:30:00,0,計測なし
1:30:10,0,計測なし
1:30:20,0,計測なし
1:30:30,0,計測なし
1:30:40,0,計測なし
1:30:50,1.1,生活活動
1:31:00,1,生活活動
1:31:10,1,生活活動
1:31:20,1,生活活動
1:31:30,1,生活活動
1:31:40,1,生活活動
1:31:50,1,生活活動
1:32:00,1,生活活動
1:32:10,0,計測なし
1:32:20,0,計測なし
1:32:30,0,計測なし
1:32:40,0,計測なし
1:32:50,0,計測なし
1:33:00,0,計測なし
1:33:10,0,計測なし
1:33:20,0,計測なし
1:33:30,0,計測なし
1:33:40,0,計測なし
1:33:50,0,計測なし
1:34:00,0,計測なし
1:34:10,0,計測なし
1:34:20,0,計測なし
1:34:30,0,計測なし
1:34:40,0,計測なし
1:34:50,0,計測なし
1:35:00,0,計測なし
1:35:10,0,計測なし
1:35:20,0,計測なし
1:35:30,0,計測なし
1:35:40,0,計測なし
1:35:50,0,計測なし
1:36:00,0,計測なし
1:36:10,0,計測なし
1:36:20,0,計測なし
1:36:30,0,計測なし
1:36:40,0,計測なし
1:36:50,0,計測なし
1:37:00,0,計測なし
1:37:10,0,計測なし
1:37:20,0,計測なし
1:37:30,0,計測なし
1:37:40,0,計測なし
1:37:50,0,計測なし
1:38:00,0,計測なし
1:38:10,0,計測なし
1:38:20,0,計測なし
1:38:30,0,計測なし
1:38:40,0,計測なし
1:38:50,0,計測なし
1:39:00,0,計測なし
1:39:10,0,計測なし
1:39:20,0,計測なし
1:39:30,0,計測なし
1:39:40,0,計測なし
1:39:50,0,計測なし
1:40:00,0,計測なし
1:40:10,0,計測なし
1:40:20,0,計測なし
1:40:30,0,計測なし
1:40:40,0,計測なし
1:40:50,0,計測なし
1:41:00,0,計測なし
1:41:10,0,計測なし
1:41:20,0,計測なし
1:41:30,0,計測なし
1:41:40,0,計測なし
1:41:50,0,計測なし
1:42:00,0,計測なし
1:42:10,0,計測なし
1:42:20,0,計測なし
1:42:30,0,計測なし
1:42:40,0,計測なし
1:42:50,1,生活活動
1:43:00,0,計測なし
1:43:10,0,計測なし
1:43:20,0,計測なし
1:43:30,0,計測なし
1:43:40,0,計測なし
1:43:50,0,計測なし
1:44:00,0,計測なし
1:44:10,0,計測なし
1:44:20,0,計測なし
1:44:30,0,計測なし
1:44:40,0,計測なし
1:44:50,0,計測なし
1:45:00,0,計測なし
1:45:10,0,計測なし
1:45:20,0,計測なし
1:45:30,0,計測なし
1:45:40,0,計測なし
1:45:50,0,計測なし
1:46:00,0,計測なし
1:46:10,0,計測なし
1:46:20,1,生活活動
1:46:30,1,生活活動
1:46:40,0,計測なし
1:46:50,0,計測なし
1:47:00,0,計測なし
1:47:10,0,計測なし
1:47:20,0,計測なし
1:47:30,0,計測なし
1:47:40,0,計測なし
1:47:50,0,計測なし
1:48:00,0,計測なし
1:48:10,0,計測なし
1:48:20,0,計測なし
1:48:30,0,計測なし
1:48:40,0,計測なし
1:48:50,0,計測なし
1:49:00,0,計測なし
1:49:10,0,計測なし
1:49:20,0,計測なし
1:49:30,0,計測なし
1:49:40,0,計測なし
1:49:50,0,計測なし
1:50:00,0,計測なし
1:50:10,1.1,生活活動
1:50:20,1,生活活動
1:50:30,0,計測なし
1:50:40,0,計測なし
1:50:50,0,計測なし
1:51:00,0,計測なし
1:51:10,0,計測なし
1:51:20,0,計測なし
1:51:30,0,計測なし
1:51:40,0,計測なし
1:51:50,1,生活活動
1:52:00,1,生活活動
1:52:10,0,計測なし
1:52:20,0,計測なし
1:52:30,0,計測なし
1:52:40,0,計測なし
1:52:50,0,計測なし
1:53:00,0,計測なし
1:53:10,0,計測なし
1:53:20,0,計測なし
1:53:30,0,計測なし
1:53:40,0,計測なし
1:53:50,1,生活活動
1:54:00,0,計測なし
1:54:10,0,計測なし
1:54:20,0,計測なし
1:54:30,0,計測なし
1:54:40,0,計測なし
1:54:50,0,計測なし
1:55:00,0,計測なし
1:55:10,0,計測なし
1:55:20,0,計測なし
1:55:30,0,計測なし
1:55:40,0,計測なし
1:55:50,0,計測なし
1:56:00,0,計測なし
1:56:10,0,計測なし
1:56:20,0,計測なし
1:56:30,0,計測なし
1:56:40,0,計測なし
1:56:50,0,計測なし
1:57:00,0,計測なし
1:57:10,0,計測なし
1:57:20,0,計測なし
1:57:30,0,計測なし
1:57:40,0,計測なし
1:57:50,0,計測なし
1:58:00,0,計測なし
1:58:10,0,計測なし
1:58:20,0,計測なし
1:58:30,0,計測なし
1:58:40,0,計測なし
1:58:50,0,計測なし
1:59:00,0,計測なし
1:59:10,0,計測なし
1:59:20,0,計測なし
1:59:30,0,計測なし
1:59:40,0,計測なし
1:59:50,0,計測なし
2:00:00,0,計測なし
2:00:10,0,計測なし
2:00:20,0,計測なし
2:00:30,0,計測なし
2:00:40,0,計測なし
2:00:50,0,計測なし
2:01:00,0,計測なし
2:01:10,0,計測なし
2:01:20,0,計測なし
2:01:30,0,計測なし
2:01:40,0,計測なし
2:01:50,0,計測なし
2:02:00,0,計測なし
2:02:10,0,計測なし
2:02:20,0,計測なし
2:02:30,0,計測なし
2:02:40,0,計測なし
2:02:50,0,計測なし
2:03:00,0,計測なし
2:03:10,0,計測なし
2:03:20,0,計測なし
2:03:30,0,計測なし
2:03:40,0,計測なし
2:03:50,0,計測なし
2:04:00,0,計測なし
2:04:10,0,計測なし
2:04:20,0,計測なし
2:04:30,0,計測なし
2:04:40,0,計測なし
2:04:50,0,計測なし
2:05:00,0,計測なし
2:05:10,0,計測なし
2:05:20,0,計測なし
2:05:30,0,計測なし
2:05:40,0,計測なし
2:05:50,0,計測なし
2:06:00,0,計測なし
2:06:10,0,計測なし
2:06:20,0,計測なし
2:06:30,0,計測なし
2:06:40,0,計測なし
2:06:50,0,計測なし
2:07:00,0,計測なし
2:07:10,0,計測なし
2:07:20,0,計測なし
2:07:30,0,計測なし
2:07:40,0,計測なし
2:07:50,0,計測なし
2:08:00,0,計測なし
2:08:10,0,計測なし
2:08:20,0,計測なし
2:08:30,0,計測なし
2:08:40,0,計測なし
2:08:50,0,計測なし
2:09:00,0,計測なし
2:09:10,0,計測なし
2:09:20,0,計測なし
2:09:30,0,計測なし
2:09:40,0,計測なし
2:09:50,0,計測なし
2:10:00,0,計測なし
2:10:10,0,計測なし
2:10:20,0,計測なし
2:10:30,0,計測なし
2:10:40,0,計測なし
2:10:50,0,計測なし
2:11:00,0,計測なし
2:11:10,0,計測なし
2:11:20,0,計測なし
2:11:30,0,計測なし
2:11:40,0,計測なし
2:11:50,0,計測なし
2:12:00,0,計測なし
2:12:10,0,計測なし
2:12:20,0,計測なし
2:12:30,0,計測なし
2:12:40,0,計測なし
2:12:50,0,計測なし
2:13:00,0,計測なし
2:13:10,0,計測なし
2:13:20,0,計測なし
2:13:30,0,計測なし
2:13:40,0,計測なし
2:13:50,0,計測なし
2:14:00,0,計測なし
2:14:10,0,計測なし
2:14:20,0,計測なし
2:14:30,0,計測なし
2:14:40,0,計測なし
2:14:50,0,計測なし
2:15:00,0,計測なし
2:15:10,0,計測なし
2:15:20,0,計測なし
2:15:30,0,計測なし
2:15:40,0,計測なし
2:15:50,0,計測なし
2:16:00,0,計測なし
2:16:10,0,計測なし
2:16:20,0,計測なし
2:16:30,0,計測なし
2:16:40,0,計測なし
2:16:50,0,計測なし
2:17:00,0,計測なし
2:17:10,0,計測なし
2:17:20,0,計測なし
2:17:30,0,計測なし
2:17:40,0,計測なし
2:17:50,0,計測なし
2:18:00,0,計測なし
2:18:10,0,計測なし
2:18:20,0,計測なし
2:18:30,0,計測なし
2:18:40,0,計測なし
2:18:50,0,計測なし
2:19:00,0,計測なし
2:19:10,0,計測なし
2:19:20,0,計測なし
2:19:30,0,計測なし
2:19:40,0,計測なし
2:19:50,0,計測なし
2:20:00,0,計測なし
2:20:10,0,計測なし
2:20:20,0,計測なし
2:20:30,0,計測なし
2:20:40,0,計測なし
2:20:50,0,計測なし
2:21:00,0,計測なし
2:21:10,0,計測なし
2:21:20,0,計測なし
2:21:30,0,計測なし
2:21:40,0,計測なし
2:21:50,0,計測なし
2:22:00,0,計測なし
2:22:10,0,計測なし
2:22:20,0,計測なし
2:22:30,0,計測なし
2:22:40,0,計測なし
2:22:50,0,計測なし
2:23:00,0,計測なし
2:23:10,0,計測なし
2:23:20,0,計測なし
2:23:30,0,計測なし
2:23:40,0,計測なし
2:23:50,0,計測なし
2:24:00,0,計測なし
2:24:10,0,計測なし
2:24:20,0,計測なし
2:24:30,0,計測なし
2:24:40,0,計測なし
2:24:50,0,計測なし
2:25:00,0,計測なし
2:25:10,0,計測なし
2:25:20,0,計測なし
2:25:30,0,計測なし
2:25:40,0,計測なし
2:25:50,0,計測なし
2:26:00,0,計測なし
2:26:10,0,計測なし
2:26:20,0,計測なし
2:26:30,0,計測なし
2:26:40,0,計測なし
2:26:50,0,計測なし
2:27:00,0,計測なし
2:27:10,0,計測なし
2:27:20,0,計測なし
2:27:30,0,計測なし
2:27:40,0,計測なし
2:27:50,0,計測なし
2:28:00,0,計測なし
2:28:10,0,計測なし
2:28:20,0,計測なし
2:28:30,0,計測なし
2:28:40,0,計測なし
2:28:50,0,計測なし
2:29:00,0,計測なし
2:29:10,0,計測なし
2:29:20,0,計測なし
2:29:30,0,計測なし
2:29:40,0,計測なし
2:29:50,0,計測なし
